ExpenseBU,ExpenseLine,ExpenseBrand,ExpenseCode,ExpenseSKU,Active,BudgetTotal,ProposedSalesProduct,ProposedSalesBrand,CanonicalBU,CanonicalLine,MappingStatus,MappingReason,Reviewed,ReviewedBy,ReviewNote
GIT,Derma,BILASTIGEC,B1,BILASTIGEC 20 MG 20 TAB,Yes,4500000.00,BILASTIGEC 20 MG 20 TAB,BILASTIGEC,GIT,Derma,MATCHED,Exact product-name match,NO,,
GIT,Derma,INFLUBAVIR,IF402,INFLUBAVIR 40 MG 2 TAB,No,500000.00,,,GIT,Derma,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
GIT,Derma,MEDIHYALO,M01,MEDIHYALO 30 GM CREAM,Yes,5000000.00,MEDIHYALO 30 GM CREAM,MEDIHYALO,GIT,Derma,MATCHED,Exact product-name match,NO,,
GIT,Derma,MEDIHYALO,MH100,MEDIHYALO 100 GM CREAM,No,0.00,,MEDIHYALO,GIT,Derma,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,Derma,DOZOVA BEAUTY GUMMIES,DBG30,DOZOVA BEAUTY 30 GUMMIES,No,0.00,,,GIT,Derma,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,CVM-I,NEXIROZOVA,NZ528,NEXIROZOVA 5 MG 28 TAB,Yes,2500000.00,,Nexirozova,Cluster,CVM-I,NOT_YET_SELLING,"Classified 2026-08-09: no sales record for this strength/pack. Sales has NEXIROZOVA 5 MG 14 TAB, and 28 TAB packs at 10 MG and 20 MG - but no 5 MG 28 TAB. Measurement status only; cause not determinable from the data.",YES,Ahmed,"Classified 2026-08-09: no sales record for this strength/pack. Sales has NEXIROZOVA 5 MG 14 TAB, and 28 TAB packs at 10 MG and 20 MG - but no 5 MG 28 TAB. Measurement status only; cause not determinable from the data."
CLUSTER,CVM-I,NEXIROZOVA,NZ10,NEXIROZOVA 10 MG 28 TAB,Yes,0.00,NEXIROZOVA 10 MG 28 TAB,NEXIROZOVA,Cluster,CVM-I,MATCHED,Exact product-name match,NO,,
CLUSTER,CVM-I,NEXIROZOVA,NZ20,NEXIROZOVA 20 MG 28 TAB,Yes,0.00,NEXIROZOVA 20 MG 28 TAB,NEXIROZOVA,Cluster,CVM-I,MATCHED,Exact product-name match,NO,,
CLUSTER,CVM-I,NEXIROSOVA,NZ40,NEXIROZOVA 40 MG 28 TAB,No,0.00,,,Cluster,CVM-I,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,CVM-I,ZETACOLEST,ZC10,ZETACOLEST 180 MG 30 TAB,Yes,6500000.00,ZETACOLEST 180 MG 30 TAB,ZETACOLEST,Cluster,CVM-I,MATCHED,Exact product-name match,NO,,
CLUSTER,CVM-I,ZETACOLEST PLUS,ZCP,ZETACOLEST PLUS 180/10 MG 30 TAB,Yes,5000000.00,ZETACOLEST PLUS 180/10 MG 30 TAB,ZETACOLEST PLUS,Cluster,CVM-I,MATCHED,Exact product-name match,NO,,
CLUSTER,CVM-I,ZETACOLEST,ZCU30,ZETACOLEST 180 MG UPA 30 TAB,Yes,0.00,,ZETACOLEST,Cluster,CVM-I,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
CLUSTER,CVM-II,ZETAKARDOVAL,Z560,ZETAKARDOVAL 5/160 MG 30 TAB,Yes,3500000.00,ZETAKARDOVAL 5/160 MG 30 TAB,ZETAKARDOVAL,Cluster,CVM-II,MATCHED,Exact product-name match,NO,,
CLUSTER,CVM-II,ZETAKARDOVAL,Z10630,ZETAKARDOVAL 10/160 MG 30 TAB,Yes,0.00,ZETAKARDOVAL 10/160 MG 30 TAB,ZETAKARDOVAL,Cluster,CVM-II,MATCHED,Exact product-name match,NO,,
CLUSTER,CVM-II,ZETAKARDOVAL,Z5320,ZETAKARDOVAL 5/320 MG 30 TAB,Yes,0.00,ZETAKARDOVAL 5/320 MG 30 TAB,ZETAKARDOVAL,Cluster,CVM-II,MATCHED,Exact product-name match,NO,,
CLUSTER,CVM-II,ZETAKARDOVAL,Z10330,ZETAKARDOVAL 10/320 MG 30 TAB,Yes,0.00,ZETAKARDOVAL 10/320 MG 30 TAB,ZETAKARDOVAL,Cluster,CVM-II,MATCHED,Exact product-name match,NO,,
CLUSTER,CVM-II,ZETAKARDOVAL HCT,ZHC20,ZETAKARDOVAL HCT 10/160/12.5 MG 30 TAB,Yes,5000000.00,ZETAKARDOVAL HCT 10/160/12.5 30 TAB,ZETAKARDOVAL HCT,Cluster,CVM-II,MATCHED,"Classified 2026-08-09: ZETAKARDOVAL HCT 10/160/12.5 30 TAB (701,994 EGP). Differs only by the unit word ""MG"". Only HCT presentation in the cube.",YES,Ahmed,"Classified 2026-08-09: ZETAKARDOVAL HCT 10/160/12.5 30 TAB (701,994 EGP). Differs only by the unit word ""MG"". Only HCT presentation in the cube."
CLUSTER,CVM-II,ZETAKARDOVAL HCT,ZH56125,ZETAKARDOVAL HCT 5/160/12.5 MG 30 TAB,No,0.00,,ZETAKARDOVAL HCT,Cluster,CVM-II,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
CLUSTER,CVM-II,ZETAKARDOVAL HCT,ZH1625,ZETAKARDOVAL HCT 10/160/25 MG 30 TAB,No,0.00,,ZETAKARDOVAL HCT,Cluster,CVM-II,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
CLUSTER,CVM-II,ZETAKARDOVAL HCT,ZH3225,ZETAKARDOVAL HCT 10/320/25 MG 30 TAB,No,0.00,,ZETAKARDOVAL HCT,Cluster,CVM-II,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
CLUSTER,CVM-II,ELIMBOSIS,E5,ELIMBOSIS 5 MG 30 TAB,Yes,5500000.00,ELIMBOSIS 5 MG 30 TAB,ELIMBOSIS,Cluster,CVM-II,MATCHED,Exact product-name match,NO,,
CLUSTER,ORTHO-I,COXORIZET,Co01,COXORIZET 60 MG 20 TAB,Yes,6000000.00,COXORIZET 60MG 20 TAB,Coxorizet,Cluster,ORTHO-I,MATCHED,"Approved 2026-08-09: whitespace only (60 MG vs 60MG). Same brand, strength, pack, form.",YES,Ahmed,"Approved 2026-08-09: whitespace only (60 MG vs 60MG). Same brand, strength, pack, form."
CLUSTER,ORTHO-I,COXORIZET,Co02,COXORIZET 90 MG 30 TAB,Yes,0.00,COXORIZET 90 MG 30 TAB,COXORIZET,Cluster,ORTHO-I,MATCHED,Exact product-name match,NO,,
CLUSTER,ORTHO-I,COXORIZET,Co1207,COXORIZET 120 MG 7 TAB,No,0.00,,COXORIZET,Cluster,ORTHO-I,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
CLUSTER,ORTHO-I,DOZOVA,F30,DOZOVA FLEXETA 30 TAB,Yes,5000000.00,DOZOVA FLEXETA 30 TAB,DOZOVA,Cluster,ORTHO-I,MATCHED,Exact product-name match,NO,,
CLUSTER,ORTHO-I,DOZOVA,F60,DOZOVA FLEXETA 60 TAB,Yes,0.00,DOZOVA FLEXETA 60 TAB,DOZOVA,Cluster,ORTHO-I,MATCHED,Exact product-name match,NO,,
CLUSTER,ORTHO-I,DOZOVA TRIPSIMAX,DT20,DOZOVA TRIPSIMAX 20 TAB,No,2000000.00,,,Cluster,ORTHO-I,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,ORTHO-II,ELIMBOSIS,E25,ELIMBOSIS 2.5 MG 30 TAB,Yes,5500000.00,ELIMBOSIS 2.5 MG 30 TAB,ELIMBOSIS,Cluster,ORTHO-II,MATCHED,Exact product-name match,NO,,
CLUSTER,ORTHO-II,DUXNORZET,DU20,DUXNORZET 20 MG 30 CAP,Yes,4000000.00,DUXNORZET 20 MG 30 CAP,DUXNORZET,Cluster,ORTHO-II,MATCHED,Exact product-name match,NO,,
CLUSTER,ORTHO-II,DUXNORZET,DU30,DUXNORZET 30 MG 30 CAP,Yes,0.00,DUXNORZET 30 MG 30 CAP,DUXNORZET,Cluster,ORTHO-II,MATCHED,Exact product-name match,NO,,
CLUSTER,ORTHO-II,DOZOVA TURMERIC,DTU60,DOZOVA TURMERIC 60 CAP,No,2500000.00,,,Cluster,ORTHO-II,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,PEDIA,NEXICURE,NX2.5,NEXICURE 2.5 MG 28 SACHETS,Yes,9000000.00,NEXICURE 2.5 MG 28 SACHETS,NEXICURE,Cluster,PEDIA,MATCHED,Exact product-name match,NO,,
CLUSTER,PEDIA,NEXICURE,NX5,NEXICURE 5 MG 28 SACHETS,Yes,0.00,NEXICURE 5 MG 28 SACHETS,NEXICURE,Cluster,PEDIA,MATCHED,Exact product-name match,NO,,
CLUSTER,PEDIA,NEXICURE,NX10S14,NEXICURE 10 MG 14 SACHETS,Yes,0.00,NEXICURE 10 MG 14 SACHETS,NEXICURE,Cluster,PEDIA,MATCHED,Exact product-name match,NO,,
CLUSTER,PEDIA,BILASTIGEC,B2,BILASTIGEC SYRUP 120 ML,Yes,1000000.00,BILASTIGEC SYRUP 120 ML,BILASTIGEC,Cluster,PEDIA,MATCHED,Exact product-name match,NO,,
CLUSTER,PEDIA,NEXIBRONCH,NX200,NEXIBRONCH SYRUP 200ML,Yes,1000000.00,NEXIBRONCH SYRUP 200ML,NEXIBRONCH,Cluster,PEDIA,MATCHED,Exact product-name match,NO,,
CLUSTER,PEDIA,DOZOVA KIDS,DKS200,DOZOVA KIDS SYRUB 200 ML,No,800000.00,,,Cluster,PEDIA,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,PEDIA,DOZOVA ALPHA AMYLASE,Dal200,DOZOVA ALPHA AMYLASE 200 ML SYRUP,Yes,1000000.00,DOZOVA ALPHA AMYLASE 200 ML SYRUP,DOZOVA ALPHA AMYLASE,Cluster,PEDIA,MATCHED,Exact product-name match,NO,,
CLUSTER,PEDIA,DOZOVA KIDS,DKG60,DOZOVA KIDS 60 GUMMIES,No,1000000.00,,,Cluster,PEDIA,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,PEDIA,DOZOVA KIDS,DKM120,DOZOVA KIDS MAX 120 ML,No,1000000.00,,,Cluster,PEDIA,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,PEDIA,OMEG,OMS120,OMEG 3 SYRUP 120 ML,No,600000.00,,,Cluster,PEDIA,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,PEDIA,DOZOVA KIDS,DKD30,DOZOVA KIDS DROPS 30 ML,No,300000.00,,,Cluster,PEDIA,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,PEDIA,DOZOVA KIDS,DKI30,DOZOVA KIDS IRON 30 ML,No,300000.00,,,Cluster,PEDIA,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,PEDIA,DOZOVA BRAIN BOOST,BBS30,DOZOVA BRAIN BOOST SYRUP 30 ML,No,1000000.00,,DOZOVA BRAIN BOOST,Cluster,PEDIA,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
DIAB,DIAB-I,EMPACOZA,Ec10,EMPACOZA 10 MG 30 TAB,Yes,8500000.00,EMPACOZA 10 MG 30 TAB,EMPACOZA,DIAB,DIAB-I,MATCHED,Exact product-name match,NO,,
DIAB,DIAB-I,EMPACOZA,Ec25,EMPACOZA 25 MG 30 TAB,Yes,6000000.00,EMPACOZA 25MG 30 TAB,Empacoza,DIAB,DIAB-I,MATCHED,"Approved 2026-08-09: whitespace only (25 MG vs 25MG). Same brand, strength, pack, form.",YES,Ahmed,"Approved 2026-08-09: whitespace only (25 MG vs 25MG). Same brand, strength, pack, form."
DIAB,DIAB-I,FLOZIVILDA,FV1250,FLOZIVILDA 12.5/50 MG 30 TAB,No,0.00,,,DIAB,DIAB-I,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,DIAB-II,EMPACOMBOMET,Em02,EMPACOMBOMET XR 12.5/1000 MG 30 TAB,Yes,13000000.00,EMPACOMBOMET XR 12.5/1000 MG 30 TAB,EMPACOMBOMET,DIAB,DIAB-II,MATCHED,Exact product-name match,NO,,
DIAB,DIAB-II,EMPACOMBOMET,Em025,EMPACOMBOMET 25/1000 MG 30 TAB,Yes,0.00,EMPACOMBOMET 25/1000 MG 30 TAB,EMPACOMBOMET,DIAB,DIAB-II,MATCHED,Exact product-name match,NO,,
DIAB,DIAB-II,SITASWAY,SW100,SITASWAY 100 MG 30 TAB,No,2000000.00,,,DIAB,DIAB-II,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,DIAB-II,SITASWAY MET,SWM1000,SITASWAY MET 100/1000 MG 30 TAB,No,3000000.00,,,DIAB,DIAB-II,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,DIAB-II,THIOMAX COMPOUND,TC30,THIOMAX COMPOUND 30 TAB,No,3500000.00,,,DIAB,DIAB-II,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,DIAB-III,EMPACOZA TRIO,EPT0130,EMPACOZA TRIO 10/5/1000 MG 30 TAB,Yes,10000000.00,EMPACOZA TRIO 10/5/1000 30 TAB,Empacoza Trio,DIAB,DIAB-III,MATCHED,"Classified 2026-08-09: EMPACOZA TRIO 10/5/1000 30 TAB (72,344,292 EGP). Differs only by the unit word ""MG"". Unique product at strength 10/5/1000 in a 30 TAB pack.",YES,Ahmed,"Classified 2026-08-09: EMPACOZA TRIO 10/5/1000 30 TAB (72,344,292 EGP). Differs only by the unit word ""MG"". Unique product at strength 10/5/1000 in a 30 TAB pack."
DIAB,DIAB-III,EMPACOZA TRIO,EPT02,EMPACOZA TRIO 25/5/1000 MG 30 TAB,Yes,12000000.00,EMPACOZA TRIO 25/5/1000 30 TAB,Empacoza Trio,DIAB,DIAB-III,MATCHED,"Classified 2026-08-09: EMPACOZA TRIO 25/5/1000 30 TAB (196,395,664 EGP). Differs only by the unit word ""MG"". Unique product at strength 25/5/1000 in a 30 TAB pack.",YES,Ahmed,"Classified 2026-08-09: EMPACOZA TRIO 25/5/1000 30 TAB (196,395,664 EGP). Differs only by the unit word ""MG"". Unique product at strength 25/5/1000 in a 30 TAB pack."
DIAB,DIAB-III,VANTAGLIMIN,VG30,VANTAGLIMIN 30 TAB,No,2000000.00,,,DIAB,DIAB-III,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,DIAB-IV,EMPACOZA PLUS,Ep10,EMPACOZA PLUS 10/5 MG 30 TAB,Yes,6000000.00,EMPACOZA PLUS 10/5 MG 30 TAB,EMPACOZA PLUS,DIAB,DIAB-IV,MATCHED,Exact product-name match,NO,,
DIAB,DIAB-IV,EMPACOZA PLUS,Ep25,EMPACOZA PLUS 25/5 MG 30 TAB,Yes,8500000.00,EMPACOZA PLUS 25/5 MG 30 TAB,EMPACOZA PLUS,DIAB,DIAB-IV,MATCHED,Exact product-name match,NO,,
DIAB,DIAB-IV,B-COMPLEX,BC30,B-COMPLEX 30 TAB,No,3000000.00,,,DIAB,DIAB-IV,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,DIAB-IV,FLOZIVILDA,FV12501000,FLOZIVILDA 12.5/50/1000 MG 30 TAB,No,0.00,,,DIAB,DIAB-IV,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,Gyna,OXYFEROTOL,OX30,OXYFEROTOL 30 TAB,No,4500000.00,,,DIAB,Gyna,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,Gyna,ZETADIDOX,ZD2020,ZETADIDOX 20/20 MG 30 TAB,No,4500000.00,,,DIAB,Gyna,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,Gyna,ZETADIDOX,Z10,ZETADIDOX 10/10 MG 30 TAB,No,1500000.00,,,DIAB,Gyna,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,Gyna,MEHTLY FOLATE,MF400,METHYL FOLATE 400 MG 30 TAB,No,1500000.00,,,DIAB,Gyna,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,Gyna,METHYL FOLATE PLUS,MFP30,METHYL FOLATE PLUS 30 CAP,No,3000000.00,,,DIAB,Gyna,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,DOZOVA MELATONIN,DM530,DOZOVA MELATONIN 5 MG 30 CAP,Yes,1700000.00,DOZOVA MELATONIN 5 MG 30 CAP,,CHC,CHC,MATCHED,Exact product-name match,NO,,
CHC,CHC,DOZOVA MELATONIN,DM560,DOZOVA MELATONIN 5 MG 60 CAP,Yes,0.00,DOZOVA MELATONIN 5 MG 60 CAP,,CHC,CHC,MATCHED,Exact product-name match,NO,,
CHC,CHC,DOZOVA NAD,DN300,DOZOVA NAD 300 MG 30 CAP,Yes,4200000.00,DOZOVA NAD 30 CAP,DOZOVA,CHC,CHC,MATCHED,Approved 2026-08-09: mapped to DOZOVA NAD 30 CAP per business owner confirmation.,YES,Ahmed,Approved 2026-08-09: mapped to DOZOVA NAD 30 CAP per business owner confirmation.
CHC,CHC,DOZOVA NAD,DN30060,DOZOVA NAD 300 MG 60 CAP,Yes,0.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,DOZOVA ASHWAGANDA,DA60030,DOZOVA ASHWAGANDA 600 MG 30 CAP,Yes,5750000.00,DOZOVA ASHWAGANDA 600 MG 30 CAP,,CHC,CHC,NAME_VARIANT,Matches after case/spacing normalisation - CONFIRM before use,NO,,
CHC,CHC,DOZOVA ASHWAGANDA,DA60060,DOZOVA ASHWAGANDA 600 MG 60 CAP,Yes,0.00,DOZOVA ASHWAGANDA 600 MG 60 CAP,,CHC,CHC,NAME_VARIANT,Matches after case/spacing normalisation - CONFIRM before use,NO,,
