ExpenseBU,ExpenseLine,ExpenseBrand,ExpenseCode,ExpenseSKU,Active,BudgetTotal,ProposedSalesProduct,ProposedSalesBrand,CanonicalBU,CanonicalLine,MappingStatus,MappingReason,Reviewed,ReviewedBy,ReviewNote
GIT,Derma,INFLUBAVIR,IF402,INFLUBAVIR 40 MG 2 TAB,No,500000.00,,,GIT,Derma,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
GIT,Derma,MEDIHYALO,MH100,MEDIHYALO 100 GM CREAM,No,0.00,,MEDIHYALO,GIT,Derma,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,Derma,DOZOVA BEAUTY GUMMIES,DBG30,DOZOVA BEAUTY 30 GUMMIES,No,0.00,,,GIT,Derma,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,CVM-I,NEXIROZOVA,NZ528,NEXIROZOVA 5 MG 28 TAB,Yes,2500000.00,,Nexirozova,Cluster,CVM-I,NOT_YET_SELLING,"Classified 2026-08-09: no sales record for this strength/pack. Sales has NEXIROZOVA 5 MG 14 TAB, and 28 TAB packs at 10 MG and 20 MG - but no 5 MG 28 TAB. Measurement status only; cause not determinable from the data.",YES,Ahmed,"Classified 2026-08-09: no sales record for this strength/pack. Sales has NEXIROZOVA 5 MG 14 TAB, and 28 TAB packs at 10 MG and 20 MG - but no 5 MG 28 TAB. Measurement status only; cause not determinable from the data."
CLUSTER,CVM-I,NEXIROSOVA,NZ40,NEXIROZOVA 40 MG 28 TAB,No,0.00,,,Cluster,CVM-I,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,CVM-I,ZETACOLEST,ZCU30,ZETACOLEST 180 MG UPA 30 TAB,Yes,0.00,,ZETACOLEST,Cluster,CVM-I,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
CLUSTER,CVM-II,ZETAKARDOVAL HCT,ZH56125,ZETAKARDOVAL HCT 5/160/12.5 MG 30 TAB,No,0.00,,ZETAKARDOVAL HCT,Cluster,CVM-II,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
CLUSTER,CVM-II,ZETAKARDOVAL HCT,ZH1625,ZETAKARDOVAL HCT 10/160/25 MG 30 TAB,No,0.00,,ZETAKARDOVAL HCT,Cluster,CVM-II,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
CLUSTER,CVM-II,ZETAKARDOVAL HCT,ZH3225,ZETAKARDOVAL HCT 10/320/25 MG 30 TAB,No,0.00,,ZETAKARDOVAL HCT,Cluster,CVM-II,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
CLUSTER,ORTHO-I,COXORIZET,Co1207,COXORIZET 120 MG 7 TAB,No,0.00,,COXORIZET,Cluster,ORTHO-I,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
CLUSTER,ORTHO-I,DOZOVA TRIPSIMAX,DT20,DOZOVA TRIPSIMAX 20 TAB,No,2000000.00,,,Cluster,ORTHO-I,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,ORTHO-II,DOZOVA TURMERIC,DTU60,DOZOVA TURMERIC 60 CAP,No,2500000.00,,,Cluster,ORTHO-II,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,PEDIA,DOZOVA KIDS,DKS200,DOZOVA KIDS SYRUB 200 ML,No,800000.00,,,Cluster,PEDIA,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,PEDIA,DOZOVA KIDS,DKG60,DOZOVA KIDS 60 GUMMIES,No,1000000.00,,,Cluster,PEDIA,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,PEDIA,DOZOVA KIDS,DKM120,DOZOVA KIDS MAX 120 ML,No,1000000.00,,,Cluster,PEDIA,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,PEDIA,OMEG,OMS120,OMEG 3 SYRUP 120 ML,No,600000.00,,,Cluster,PEDIA,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,PEDIA,DOZOVA KIDS,DKD30,DOZOVA KIDS DROPS 30 ML,No,300000.00,,,Cluster,PEDIA,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,PEDIA,DOZOVA KIDS,DKI30,DOZOVA KIDS IRON 30 ML,No,300000.00,,,Cluster,PEDIA,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CLUSTER,PEDIA,DOZOVA BRAIN BOOST,BBS30,DOZOVA BRAIN BOOST SYRUP 30 ML,No,1000000.00,,DOZOVA BRAIN BOOST,Cluster,PEDIA,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
DIAB,DIAB-I,FLOZIVILDA,FV1250,FLOZIVILDA 12.5/50 MG 30 TAB,No,0.00,,,DIAB,DIAB-I,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,DIAB-II,SITASWAY,SW100,SITASWAY 100 MG 30 TAB,No,2000000.00,,,DIAB,DIAB-II,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,DIAB-II,SITASWAY MET,SWM1000,SITASWAY MET 100/1000 MG 30 TAB,No,3000000.00,,,DIAB,DIAB-II,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,DIAB-II,THIOMAX COMPOUND,TC30,THIOMAX COMPOUND 30 TAB,No,3500000.00,,,DIAB,DIAB-II,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,DIAB-III,VANTAGLIMIN,VG30,VANTAGLIMIN 30 TAB,No,2000000.00,,,DIAB,DIAB-III,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,DIAB-IV,B-COMPLEX,BC30,B-COMPLEX 30 TAB,No,3000000.00,,,DIAB,DIAB-IV,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,DIAB-IV,FLOZIVILDA,FV12501000,FLOZIVILDA 12.5/50/1000 MG 30 TAB,No,0.00,,,DIAB,DIAB-IV,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,Gyna,OXYFEROTOL,OX30,OXYFEROTOL 30 TAB,No,4500000.00,,,DIAB,Gyna,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,Gyna,ZETADIDOX,ZD2020,ZETADIDOX 20/20 MG 30 TAB,No,4500000.00,,ZETADIDOX,DIAB,Gyna,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
DIAB,Gyna,ZETADIDOX,Z10,ZETADIDOX 10/10 MG 30 TAB,No,1500000.00,,ZETADIDOX,DIAB,Gyna,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
DIAB,Gyna,MEHTLY FOLATE,MF400,METHYL FOLATE 400 MG 30 TAB,No,1500000.00,,,DIAB,Gyna,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
DIAB,Gyna,METHYL FOLATE PLUS,MFP30,METHYL FOLATE PLUS 30 CAP,No,3000000.00,,,DIAB,Gyna,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,DOZOVA NAD,DN30060,DOZOVA NAD 300 MG 60 CAP,Yes,0.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,DOZOVA ASHWAGANDA,DA60030,DOZOVA ASHWAGANDA 600 MG 30 CAP,Yes,5750000.00,DOZOVA ASHWAGANDA 600 MG 30 CAP,,CHC,CHC,NAME_VARIANT,Matches after case/spacing normalisation - CONFIRM before use,NO,,
CHC,CHC,DOZOVA ASHWAGANDA,DA60060,DOZOVA ASHWAGANDA 600 MG 60 CAP,Yes,0.00,DOZOVA ASHWAGANDA 600 MG 60 CAP,,CHC,CHC,NAME_VARIANT,Matches after case/spacing normalisation - CONFIRM before use,NO,,
CHC,CHC,OMEG,OM369,OMEGA 369 30 CAP,No,700000.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,LIPOSOMAL D3,ID30,LIPOSOMAL D3 30 TAB,No,320000.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,LIPOSOMAL D3 + K2 + MG,LDK30,LIPOSOMAL D3 + K2 + MG 30 TAB,No,350000.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,B-COMPLEX,BC30,B-COMPLEX 30 TAB,No,680000.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,MACA ROOT,MR60,MACA ROOT 60 CAP,No,560000.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,DOZOVA TURMERIC,DTU30,DOZOVA TURMERIC 30 CAP,No,900000.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,DOZOVA MAN MAX,DX160,DOZOVA MAN MAX 60 TAB,Yes,0.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,DOZOVA WOMEN MAX,DW60,DOZOVA WOMEN MAX 60 TAB,Yes,0.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,ZETAGAROUH,ZG254,ZETAGAROUH 2.5 MG 4 SYRING,No,5000000.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
